date,visitors,pageviews,bounce_rate,visit_duration
2022-05-29,0,0,,
2022-05-30,0,0,,
2022-05-31,0,0,,
2022-06-01,0,0,,
2022-06-02,0,0,,
2022-06-03,0,0,,
2022-06-04,0,0,,
2022-06-05,0,0,,
2022-06-06,0,0,,
2022-06-07,0,0,,
2022-06-08,0,0,,
2022-06-09,0,0,,
2022-06-10,0,0,,
2022-06-11,0,0,,
2022-06-12,0,0,,
2022-06-13,0,0,,
2022-06-14,0,0,,
2022-06-15,0,0,,
2022-06-16,0,0,,
2022-06-17,0,0,,
2022-06-18,0,0,,
2022-06-19,0,0,,
2022-06-20,0,0,,
2022-06-21,2,5,67,912
2022-06-22,7,9,50,53
2022-06-23,9,9,100,0
2022-06-24,7,7,71,17
2022-06-25,1,1,100,0
2022-06-26,6,8,67,234
2022-06-27,8,11,56,77
2022-06-28,3,4,67,14
